Clau,Accidents
0320163,1
0320192,1
0420172,1
0420182,1
0420183,1
0420202,2
0420223,1
0520182,1
0520222,2
0620171,1
0620172,1
0620201,1
0620203,1
0620221,1
0620223,2
0720181,1
0920172,1
0920173,2
0920181,1
0920183,1
0920191,3
0920193,3
0920221,1
1020161,82
1020162,96
1020163,91
1020171,84
1020172,97
1020173,83
1020181,83
1020182,71
1020183,73
1020191,62
1020192,102
1020193,66
1020201,51
1020202,59
1020203,52
1020211,69
1020212,87
1020213,62
1020221,77
1020222,82
1020223,70
1120161,126
1120162,107
1120163,128
1120171,90
1120172,105
1120173,90
1120181,76
1120182,91
1120183,78
1120191,97
1120192,99
1120193,71
1120201,59
1120202,53
1120203,42
1120211,76
1120212,65
1120213,60
1120221,76
1120222,82
1120223,69
120161,78
120162,94
120163,98
120171,56
120172,62
120173,61
120181,49
120182,46
120183,51
120191,43
120192,56
120193,71
120201,35
120202,30
120203,36
120211,55
120212,35
120213,48
120221,54
120222,56
120223,57
1220161,91
1220162,109
1220163,93
1220171,77
1220172,110
1220173,87
1220181,84
1220182,103
1220183,86
1220191,86
1220192,120
1220193,97
1220201,70
1220202,69
1220203,60
1220211,63
1220212,69
1220213,50
1220221,80
1220222,56
1220223,67
1320161,21
1320162,39
1320163,31
1320171,28
1320172,32
1320173,40
1320181,29
1320182,32
1320183,24
1320191,36
1320192,41
1320193,31
1320201,34
1320202,30
1320203,21
1320211,46
1320212,45
1320213,43
1320221,24
1320222,39
1320223,47
1420161,29
1420162,27
1420163,27
1420171,17
1420172,17
1420173,20
1420181,14
1420182,13
1420183,15
1420191,24
1420192,18
1420193,18
1420201,8
1420202,7
1420203,19
1420211,16
1420212,22
1420213,24
1420221,15
1420222,17
1420223,17
1520161,34
1520162,27
1520163,23
1520171,40
1520172,44
1520173,41
1520181,42
1520182,52
1520183,45
1520191,48
1520192,61
1520193,55
1520201,33
1520202,41
1520203,54
1520211,43
1520212,42
1520213,29
1520221,41
1520222,38
1520223,40
1620161,26
1620162,28
1620163,34
1620171,40
1620172,38
1620173,40
1620181,29
1620182,35
1620183,46
1620191,46
1620192,45
1620193,36
1620201,37
1620202,35
1620203,26
1620211,37
1620212,43
1620213,22
1620221,33
1620222,35
1620223,42
1720161,24
1720162,15
1720163,11
1720171,19
1720172,21
1720173,27
1720181,27
1720182,28
1720183,13
1720191,22
1720192,23
1720193,26
1720201,19
1720202,24
1720203,13
1720211,17
1720212,20
1720213,11
1720221,15
1720222,18
1720223,19
1820161,98
1820162,99
1820163,88
1820171,80
1820172,60
1820173,69
1820181,53
1820182,58
1820183,60
1820191,57
1820192,67
1820193,64
1820201,45
1820202,38
1820203,42
1820211,55
1820212,58
1820213,38
1820221,41
1820222,68
1820223,47
1920161,124
1920162,129
1920163,130
1920171,132
1920172,130
1920173,99
1920181,108
1920182,111
1920183,97
1920191,99
1920192,112
1920193,100
1920201,82
1920202,82
1920203,85
1920211,86
1920212,88
1920213,83
1920221,92
1920222,89
1920223,103
2020161,67
2020162,61
2020163,65
2020171,66
2020172,66
2020173,69
2020181,68
2020182,93
2020183,80
2020191,91
2020192,76
2020193,65
2020201,67
2020202,52
2020203,35
2020211,67
2020212,53
2020213,75
2020221,61
2020222,72
2020223,67
2120161,90
2120162,92
2120163,75
2120171,77
2120172,75
2120173,68
2120181,65
2120182,69
2120183,46
2120191,68
2120192,74
2120193,65
2120201,43
2120202,44
2120203,32
2120211,62
2120212,35
2120213,47
2120221,40
2120222,57
2120223,45
220161,46
220162,57
220163,43
220171,70
220172,70
220173,44
220181,62
220182,56
220183,60
220191,55
220192,49
220193,44
220201,37
220202,32
220203,34
220211,54
220212,39
220213,28
220221,57
220222,44
220223,42
2220161,29
2220162,20
2220163,21
2220171,14
2220172,11
2220173,19
2220181,11
2220182,10
2220183,6
2220191,4
2220192,6
2220193,11
2220201,10
2220202,9
2220203,12
2220211,13
2220212,23
2220213,11
2220221,13
2220222,9
2220223,9
2320161,74
2320162,72
2320163,70
2320171,85
2320172,88
2320173,60
2320181,78
2320182,52
2320183,51
2320191,69
2320192,66
2320193,56
2320201,38
2320202,50
2320203,46
2320211,52
2320212,54
2320213,55
2320221,39
2320222,53
2320223,59
2420161,32
2420162,36
2420163,29
2420171,59
2420172,50
2420173,41
2420181,46
2420182,62
2420183,41
2420191,48
2420192,51
2420193,44
2420201,28
2420202,44
2420203,29
2420211,36
2420212,35
2420213,48
2420221,36
2420222,33
2420223,44
2520161,104
2520162,91
2520163,80
2520171,83
2520172,81
2520173,76
2520181,100
2520182,109
2520183,75
2520191,68
2520192,83
2520193,66
2520201,43
2520202,77
2520203,51
2520211,75
2520212,71
2520213,54
2520221,93
2520222,71
2520223,78
2620161,73
2620162,61
2620163,70
2620171,115
2620172,126
2620173,129
2620181,124
2620182,172
2620183,137
2620191,148
2620192,161
2620193,150
2620201,100
2620202,99
2620203,92
2620211,135
2620212,91
2620213,96
2620221,127
2620222,148
2620223,115
2720161,36
2720162,22
2720163,23
2720171,44
2720172,36
2720173,38
2720181,35
2720182,53
2720183,49
2720191,49
2720192,51
2720193,34
2720201,33
2720202,27
2720203,29
2720211,23
2720212,18
2720213,32
2720221,30
2720222,35
2720223,36
2820161,43
2820162,38
2820163,46
2820171,46
2820172,62
2820173,44
2820181,53
2820182,41
2820183,37
2820191,33
2820192,48
2820193,40
2820201,28
2820202,29
2820203,40
2820211,45
2820212,31
2820213,29
2820221,44
2820222,41
2820223,43
2920161,13
2920162,17
2920163,22
2920171,13
2920172,8
2920173,8
2920181,4
2920182,14
2920183,3
2920191,8
2920192,12
2920193,10
2920201,3
2920202,9
2920203,6
2920211,4
2920212,11
2920213,1
2920221,5
2920222,9
2920223,4
3020161,11
3020162,5
3020163,12
3020171,23
3020172,20
3020173,22
3020181,15
3020182,23
3020183,32
3020191,23
3020192,39
3020193,23
3020201,15
3020202,13
3020203,17
3020211,31
3020212,27
3020213,19
3020221,15
3020222,20
3020223,19
3120161,79
3120162,83
3120163,85
3120171,67
3120172,72
3120173,58
3120181,52
3120182,63
3120183,44
3120191,46
3120192,40
3120193,42
3120201,32
3120202,41
3120203,26
3120211,68
3120212,51
3120213,45
3120221,37
3120222,41
3120223,51
320161,39
320162,44
320163,51
320171,59
320172,47
320173,56
320181,43
320182,55
320183,40
320191,53
320192,51
320193,57
320201,22
320202,42
320203,26
320211,44
320212,43
320213,49
320221,45
320222,37
320223,63
3220161,15
3220162,13
3220163,10
3220171,41
3220172,41
3220173,39
3220181,37
3220182,46
3220183,34
3220191,40
3220192,58
3220193,45
3220201,35
3220202,40
3220203,38
3220211,38
3220212,30
3220213,44
3220221,39
3220222,44
3220223,39
3320161,24
3320162,15
3320163,23
3320171,34
3320172,37
3320173,35
3320181,40
3320182,32
3320183,27
3320191,41
3320192,54
3320193,28
3320201,28
3320202,29
3320203,35
3320211,47
3320212,40
3320213,37
3320221,49
3320222,37
3320223,44
3420161,8
3420162,5
3420163,12
3420171,7
3420172,3
3420173,7
3420181,5
3420182,5
3420183,5
3420191,3
3420192,6
3420193,9
3420201,5
3420202,1
3420203,5
3420211,11
3420212,7
3420213,3
3420221,2
3420222,4
3420223,6
3520161,55
3520162,40
3520163,47
3520171,44
3520172,36
3520173,39
3520181,47
3520182,34
3520183,48
3520191,34
3520192,31
3520193,37
3520201,24
3520202,35
3520203,45
3520211,34
3520212,29
3520213,28
3520221,30
3520222,35
3520223,48
3620161,34
3620162,28
3620163,41
3620171,17
3620172,21
3620173,19
3620181,11
3620182,13
3620183,13
3620191,10
3620192,12
3620193,5
3620201,16
3620202,7
3620203,8
3620211,10
3620212,18
3620213,5
3620221,18
3620222,15
3620223,8
3720161,21
3720162,24
3720163,28
3720171,21
3720172,31
3720173,29
3720181,29
3720182,37
3720183,30
3720191,24
3720192,37
3720193,27
3720201,24
3720202,32
3720203,26
3720211,40
3720212,14
3720213,30
3720221,34
3720222,20
3720223,25
3820161,17
3820162,16
3820163,17
3820171,15
3820172,18
3820173,6
3820181,8
3820182,10
3820183,15
3820191,8
3820192,7
3820193,11
3820201,15
3820202,8
3820203,5
3820211,8
3820212,7
3820213,5
3820221,3
3820222,13
3820223,10
3920161,12
3920162,14
3920163,9
3920171,16
3920172,19
3920173,14
3920181,26
3920182,17
3920183,14
3920191,22
3920192,13
3920193,23
3920201,15
3920202,12
3920203,11
3920211,21
3920212,12
3920213,15
3920221,8
3920222,19
3920223,15
4020161,9
4020162,17
4020163,18
4020171,20
4020172,16
4020173,18
4020181,28
4020182,16
4020183,20
4020191,14
4020192,13
4020193,17
4020201,13
4020202,11
4020203,19
4020211,15
4020212,21
4020213,6
4020221,12
4020222,11
4020223,9
4120161,25
4120162,17
4120163,18
4120171,28
4120172,23
4120173,23
4120181,23
4120182,32
4120183,29
4120191,33
4120192,25
4120193,15
4120201,10
4120202,16
4120203,19
4120211,40
4120212,29
4120213,24
4120221,24
4120222,20
4120223,22
420161,82
420162,84
420163,82
420171,56
420172,53
420173,51
420181,42
420182,61
420183,40
420191,39
420192,46
420193,60
420201,19
420202,17
420203,25
420211,44
420212,31
420213,34
420221,45
420222,47
420223,29
4220161,4
4220162,1
4220163,3
4220171,6
4220172,7
4220173,4
4220181,6
4220182,6
4220183,1
4220191,2
4220192,8
4220193,6
4220201,3
4220202,1
4220203,4
4220211,5
4220212,4
4220213,2
4220221,3
4220222,3
4220223,5
4320161,42
4320162,33
4320163,32
4320171,37
4320172,62
4320173,58
4320181,58
4320182,64
4320183,42
4320191,49
4320192,37
4320193,55
4320201,33
4320202,27
4320203,41
4320211,59
4320212,41
4320213,39
4320221,51
4320222,49
4320223,44
4420161,32
4420162,39
4420163,36
4420171,36
4420172,24
4420173,36
4420181,29
4420182,31
4420183,37
4420191,31
4420192,24
4420193,27
4420201,32
4420202,29
4420203,28
4420211,29
4420212,26
4420213,30
4420221,25
4420222,19
4420223,24
4520161,25
4520162,13
4520163,28
4520171,31
4520172,27
4520173,33
4520181,31
4520182,31
4520183,28
4520191,24
4520192,28
4520193,27
4520201,23
4520202,17
4520203,25
4520211,32
4520212,21
4520213,22
4520221,27
4520222,18
4520223,26
4620161,10
4620162,4
4620163,6
4620171,11
4620172,11
4620173,7
4620181,9
4620182,9
4620183,8
4620191,12
4620192,14
4620193,7
4620201,14
4620202,9
4620203,7
4620211,14
4620212,12
4620213,15
4620221,6
4620222,6
4620223,6
4720161,7
4720162,8
4720163,14
4720171,7
4720172,4
4720173,6
4720181,5
4720182,3
4720183,2
4720191,2
4720192,3
4720193,1
4720201,2
4720211,1
4720212,2
4720213,1
4720221,5
4720222,2
4820161,9
4820162,8
4820163,11
4820171,10
4820172,14
4820173,23
4820181,11
4820182,17
4820183,22
4820191,15
4820192,15
4820193,25
4820201,23
4820202,16
4820203,17
4820211,14
4820212,23
4820213,23
4820221,20
4820222,14
4820223,13
4920171,9
4920172,9
4920173,11
4920181,14
4920182,19
4920183,14
4920191,17
4920192,15
4920193,15
4920201,6
4920202,9
4920203,7
4920211,20
4920212,11
4920213,15
4920221,11
4920222,8
4920223,14
5020161,10
5020162,23
5020163,21
5020171,12
5020172,13
5020173,20
5020181,15
5020182,9
5020183,23
5020191,25
5020192,13
5020193,14
5020201,9
5020202,18
5020203,13
5020211,18
5020212,16
5020213,13
5020221,18
5020222,21
5020223,15
5120161,4
5120162,9
5120163,5
5120171,5
5120172,5
5120173,11
5120181,15
5120182,8
5120183,9
5120191,5
5120192,5
5120193,9
5120201,7
5120202,8
5120203,7
5120211,3
5120212,6
5120213,7
5120221,8
5120222,1
5120223,7
520161,103
520162,82
520163,79
520171,96
520172,96
520173,96
520181,97
520182,108
520183,97
520191,113
520192,104
520193,111
520201,68
520202,71
520203,65
520211,88
520212,97
520213,85
520221,107
520222,94
520223,94
5220161,22
5220162,27
5220163,17
5220171,30
5220172,30
5220173,18
5220181,30
5220182,31
5220183,38
5220191,36
5220192,41
5220193,19
5220201,30
5220202,33
5220203,14
5220211,36
5220212,28
5220213,23
5220221,37
5220222,18
5220223,13
5320161,23
5320162,29
5320163,21
5320171,23
5320172,29
5320173,36
5320181,27
5320182,26
5320183,24
5320191,20
5320192,25
5320193,21
5320201,18
5320202,18
5320203,14
5320211,16
5320212,26
5320213,16
5320221,19
5320222,14
5320223,24
5420161,28
5420162,28
5420163,16
5420171,10
5420172,9
5420173,9
5420181,2
5420182,3
5420183,3
5420191,5
5420192,3
5420193,3
5420201,3
5420202,2
5420203,3
5420211,6
5420212,5
5420213,8
5420221,9
5420222,2
5520161,1
5520162,5
5520163,3
5520171,3
5520172,5
5520173,6
5520181,5
5520182,4
5520183,5
5520191,4
5520192,4
5520193,2
5520201,6
5520202,6
5520203,2
5520211,2
5520212,5
5520213,2
5520221,2
5520222,7
5520223,6
5620161,7
5620162,12
5620163,11
5620171,6
5620172,4
5620173,3
5620181,2
5620182,3
5620191,4
5620192,5
5620201,1
5620202,3
5620203,1
5620211,1
5620212,1
5620213,2
5620222,1
5620223,1
5720161,27
5720162,15
5720163,43
5720171,25
5720172,43
5720173,28
5720181,34
5720182,53
5720183,37
5720191,29
5720192,29
5720193,28
5720201,23
5720202,31
5720203,19
5720211,38
5720212,26
5720213,18
5720221,28
5720222,21
5720223,25
5820161,4
5820162,3
5820171,11
5820172,9
5820173,6
5820181,6
5820182,10
5820183,15
5820191,7
5820192,10
5820193,7
5820201,6
5820202,11
5820203,5
5820211,12
5820212,5
5820213,11
5820221,9
5820222,10
5820223,6
5920161,34
5920162,38
5920163,39
5920171,41
5920172,52
5920173,47
5920181,52
5920182,60
5920183,43
5920191,54
5920192,72
5920193,41
5920201,41
5920202,45
5920203,32
5920211,47
5920212,52
5920213,39
5920221,55
5920222,49
5920223,46
6020161,80
6020162,77
6020163,68
6020171,73
6020172,59
6020173,70
6020181,67
6020182,75
6020183,74
6020191,58
6020192,60
6020193,67
6020201,49
6020202,49
6020203,45
6020211,62
6020212,65
6020213,50
6020221,49
6020222,49
6020223,60
6120161,38
6120162,30
6120163,33
6120171,26
6120172,22
6120173,25
6120181,34
6120182,22
6120183,19
6120191,37
6120192,25
6120193,34
6120201,26
6120202,21
6120203,18
6120211,27
6120212,33
6120213,21
6120221,27
6120222,20
6120223,29
620161,231
620162,246
620163,238
620171,151
620172,174
620173,177
620181,132
620182,134
620183,159
620191,131
620192,140
620193,145
620201,92
620202,99
620203,100
620211,102
620212,142
620213,100
620221,81
620222,109
620223,123
6220161,7
6220162,7
6220163,11
6220171,10
6220172,12
6220173,16
6220181,12
6220182,21
6220183,14
6220191,19
6220192,23
6220193,14
6220201,13
6220202,16
6220203,11
6220211,12
6220212,27
6220213,13
6220221,23
6220222,10
6220223,20
6320161,10
6320162,8
6320163,2
6320171,23
6320172,15
6320173,27
6320181,32
6320182,32
6320183,26
6320191,28
6320192,28
6320193,30
6320201,18
6320202,22
6320203,14
6320211,25
6320212,24
6320213,23
6320221,25
6320222,30
6320223,34
6420161,54
6420162,50
6420163,59
6420171,66
6420172,50
6420173,75
6420181,55
6420182,56
6420183,52
6420191,56
6420192,55
6420193,42
6420201,45
6420202,33
6420203,32
6420211,59
6420212,56
6420213,46
6420221,64
6420222,71
6420223,61
6520161,46
6520162,47
6520163,47
6520171,49
6520172,59
6520173,53
6520181,45
6520182,58
6520183,45
6520191,66
6520192,62
6520193,59
6520201,37
6520202,46
6520203,31
6520211,67
6520212,39
6520213,55
6520221,34
6520222,46
6520223,50
6620161,96
6620162,82
6620163,86
6620171,73
6620172,62
6620173,86
6620181,68
6620182,47
6620183,32
6620191,45
6620192,54
6620193,53
6620201,31
6620202,31
6620203,37
6620211,34
6620212,19
6620213,24
6620221,37
6620222,47
6620223,57
6720161,8
6720162,16
6720163,10
6720171,34
6720172,46
6720173,44
6720181,50
6720182,54
6720183,31
6720191,46
6720192,30
6720193,48
6720201,27
6720202,17
6720203,26
6720211,41
6720212,18
6720213,33
6720221,42
6720222,28
6720223,50
6820161,86
6820162,80
6820163,72
6820171,53
6820172,72
6820173,56
6820181,53
6820182,61
6820183,54
6820191,58
6820192,65
6820193,65
6820201,41
6820202,48
6820203,43
6820211,52
6820212,51
6820213,40
6820221,51
6820222,32
6820223,53
6920161,19
6920162,33
6920163,16
6920171,46
6920172,43
6920173,50
6920181,34
6920182,46
6920183,51
6920191,44
6920192,55
6920193,31
6920201,21
6920202,20
6920203,23
6920211,39
6920212,33
6920213,23
6920221,47
6920222,45
6920223,42
7020161,51
7020162,41
7020163,38
7020171,34
7020172,41
7020173,32
7020181,21
7020182,22
7020183,21
7020191,26
7020192,30
7020193,26
7020201,25
7020202,21
7020203,20
7020211,32
7020212,32
7020213,31
7020221,22
7020222,28
7020223,26
7120161,27
7120162,29
7120163,21
7120171,50
7120172,59
7120173,49
7120181,61
7120182,69
7120183,61
7120191,54
7120192,61
7120193,67
7120201,44
7120202,36
7120203,37
7120211,50
7120212,54
7120213,42
7120221,36
7120222,48
7120223,58
720161,269
720162,248
720163,221
720171,331
720172,389
720173,419
720181,388
720182,451
720183,403
720191,412
720192,450
720193,437
720201,266
720202,283
720203,223
720211,289
720212,273
720213,278
720221,312
720222,338
720223,325
7220161,26
7220162,20
7220163,23
7220171,37
7220172,22
7220173,28
7220181,26
7220182,27
7220183,24
7220191,32
7220192,25
7220193,24
7220201,23
7220202,28
7220203,30
7220211,20
7220212,21
7220213,18
7220221,24
7220222,25
7220223,7
7320161,17
7320162,20
7320163,21
7320171,28
7320172,28
7320173,23
7320181,21
7320182,17
7320183,24
7320191,29
7320192,31
7320193,22
7320201,23
7320202,19
7320203,21
7320211,19
7320212,21
7320213,27
7320221,24
7320222,18
7320223,23
820161,234
820162,212
820163,215
820171,206
820172,208
820173,207
820181,196
820182,195
820183,178
820191,197
820192,227
820193,199
820201,147
820202,147
820203,132
820211,158
820212,173
820213,147
820221,156
820222,171
820223,153
920161,122
920162,132
920163,109
920171,118
920172,151
920173,120
920181,140
920182,176
920183,139
920191,152
920192,147
920193,140
920201,99
920202,89
920203,107
920211,102
920212,104
920213,120
920221,105
920222,100
920223,117
