"Rang_soroll","TOTAL_D","TOTAL_E","TOTAL_N","TOTAL_DEN","TRANSIT_D","TRANSIT_E","TRANSIT_N","TRANSIT_DEN","GI_TR_D","GI_TR_E","GI_TR_N","GI_TR_DEN","FFCC_D","FFCC_E","FFCC_N","FFCC_DEN","INDUST_D","INDUST_E","INDUST_N","INDUST_DEN","VIANANTS_D","VIANANTS_E","OCI_N","PATIS_D","PATIS_E","PARCS_D"
"<40 dB","2.60%","6.77%","29.63%","0.85%","3.42%","7.97%","30.33%","1.26%","54.37%","60.98%","77.05%","47.66%","97.62%","97.69%","98.72%","97.22%","99.63%","99.97%","99.97%","99.71%","90.39%","91.45%","95.08%","93.01%","96.98%","99.84%"
"40-45 dB","14.49%","19.67%","13.06%","10.42%","17.58%","21.45%","12.96%","12.83%","17.79%","15.89%","7.36%","19.47%","0.85%","0.80%","0.59%","0.95%","0.27%","0.03%","0.03%","0.19%","3.36%","3.82%","1.17%","0.00%","0.00%","0.13%"
"45-50 dB","16.38%","12.91%","10.55%","18.89%","19.22%","13.68%","10.86%","22.23%","10.97%","7.63%","4.17%","13.45%","0.65%","0.64%","0.52%","0.73%","0.06%","0.00%","0.00%","0.07%","3.35%","2.49%","0.68%","0.00%","0.00%","0.03%"
"50-55 dB","10.53%","10.65%","14.25%","11.59%","9.22%","10.65%","14.58%","9.72%","4.23%","4.08%","3.32%","5.35%","0.63%","0.56%","0.14%","0.56%","0.03%","0.00%","0.00%","0.03%","2.01%","1.41%","0.71%","3.70%","0.00%","0.00%"
"55-60 dB","17.06%","16.35%","13.98%","14.38%","13.72%","14.48%","13.70%","12.44%","3.47%","3.27%","2.89%","3.80%","0.18%","0.24%","0.03%","0.42%","0.01%","0.00%","0.00%","0.00%","0.82%","0.75%","1.23%","2.12%","1.84%","0.00%"
"60-65 dB","16.15%","15.47%","14.68%","16.21%","14.14%","13.67%","14.13%","14.80%","3.15%","2.86%","3.19%","3.31%","0.05%","0.06%","0.00%","0.10%","0.00%","0.00%","0.00%","0.00%","0.07%","0.08%","1.06%","1.17%","1.18%","0.00%"
"65-70 dB","14.60%","14.31%","3.85%","14.58%","14.53%","14.24%","3.44%","13.81%","2.52%","3.06%","2.02%","2.62%","0.02%","0.01%","0.00%","0.02%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.07%","0.00%","0.00%","0.00%"
"70-75 dB","7.94%","3.87%","0.00%","11.77%","7.92%","3.86%","0.00%","11.62%","3.32%","2.23%","0.00%","3.41%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"75-80 dB","0.25%","0.00%","0.00%","1.31%","0.25%","0.00%","0.00%","1.29%","0.18%","0.00%","0.00%","0.93%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
">=80 dB","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"